noise_level,seed,model,accuracy,f1_macro,train_time_s,best_params,f1_shelf_picking,f1_front_zone_bin,f1_special_zone,f1_floor_block,f1_pallet_rack,denoising_gain
0.2,123,xgb,0.978907435508346,0.9774352278835844,25.09844017028809,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 6, 'classifier__n_estimators': 100}",0.985114503816794,0.9807848443843032,0.958139534883721,0.9759704251386322,0.987166831194472,0.17890743550834598
0.2,456,dt,0.9679817905918058,0.9574758057421076,3.2680776119232178,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 10}",0.9833492822966508,0.9772481040086674,0.9377901578458682,0.9455216989843028,0.9434697855750488,0.16798179059180574
0.2,456,rf,0.975113808801214,0.9723840710582556,51.13574767112732,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 200}",0.980743565300286,0.97971328103868,0.9559099437148216,0.9632352941176472,0.9823182711198428,0.17511380880121397
0.2,456,xgb,0.9763277693474962,0.9733340477593896,35.909265995025635,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 8, 'classifier__n_estimators': 100}",0.9827652240520872,0.9821525148729042,0.9534347625633932,0.963302752293578,0.985014985014985,0.17632776934749617
0.2,789,dt,0.9646433990895296,0.953249789165216,5.06215500831604,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 10}",0.9808502489467636,0.9764291519913304,0.9297752808988764,0.935395814376706,0.9437984496124032,0.16464339908952952
0.2,789,rf,0.9758725341426404,0.972836023971886,68.73593306541443,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 200}",0.982656756241662,0.9800215982721382,0.9544814641013608,0.9666666666666668,0.9803536345776032,0.17587253414264037
0.2,789,xgb,0.9802731411229136,0.9791944059671432,34.493932485580444,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 6, 'classifier__n_estimators': 100}",0.9847094801223242,0.984341252699784,0.9593721144967684,0.9794776119402984,0.9880715705765408,0.1802731411229136
0.2,1024,dt,0.966464339908953,0.9568601729004884,5.168222188949585,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 10}",0.9827850038255548,0.972252448313384,0.937095282146161,0.9457221711131556,0.9464459591041868,0.16646433990895293
0.2,1024,rf,0.975113808801214,0.9723947910732336,68.89464712142944,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 200}",0.9819082079603884,0.9775615031089484,0.9562764456981664,0.9658356417359188,0.9803921568627452,0.17511380880121397
0.2,1024,xgb,0.9776934749620636,0.9739753080381764,35.66495990753174,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 8, 'classifier__n_estimators': 100}",0.9837195939475196,0.9840669727248176,0.9582560296846012,0.9597069597069596,0.984126984126984,0.17769347496206356
